date,open,high,low,close,volume
2015-12-01,766.94,785.00,765.95,783.79,2019864
2015-12-02,785.25,793.05,776.43,777.85,2343841
2015-12-03,780.56,784.48,762.45,768.20,2097494
2015-12-04,769.71,782.42,765.51,779.21,2489998
2015-12-07,780.06,781.00,766.72,772.99,1831287
2015-12-08,764.50,778.65,762.52,775.14,1554121
2015-12-09,771.10,776.09,752.01,762.55,2327471
2015-12-10,763.59,766.07,755.00,760.04,1622940
2015-12-11,749.00,757.44,748.65,750.42,2159164
2015-12-14,751.26,764.15,736.26,762.54,2708520
2015-12-15,767.79,774.75,758.00,760.09,2469319
2015-12-16,766.57,781.50,757.04,776.59,2656010
2015-12-17,781.16,781.59,769.30,769.83,1825538
2015-12-18,767.23,774.14,756.59,756.85,3389702
2015-12-21,763.00,766.35,754.15,760.80,1742368
2015-12-22,764.27,770.34,761.20,767.13,1816935
2015-12-23,770.69,771.90,757.65,768.51,1529734
2015-12-24,768.52,769.20,764.39,765.84,521141
2015-12-28,770.00,782.82,767.73,782.24,1557755
2015-12-29,786.99,798.69,786.20,793.96,1921480
2015-12-30,793.96,796.46,787.20,790.30,1428280
2015-12-31,787.82,788.33,777.32,778.01,1637561
2016-01-04,762.20,762.20,747.54,759.44,3369058
2016-01-05,764.10,769.20,755.65,761.53,2260795
2016-01-06,750.37,765.73,748.00,759.33,2410291
2016-01-07,746.49,755.31,735.28,741.00,3156563
2016-01-08,747.80,750.12,728.92,730.91,2375348
2016-01-11,731.95,735.08,719.56,733.07,2544806
2016-01-12,740.75,748.34,736.43,745.34,2340753
2016-01-13,749.34,753.00,716.78,719.57,2586395
2016-01-14,724.44,739.89,705.00,731.39,2777868
2016-01-15,709.99,724.16,701.51,710.49,3833751
2016-01-19,720.15,725.35,709.85,719.08,2436220
2016-01-20,705.90,726.95,687.78,718.56,4122010
2016-01-21,720.17,737.67,711.11,726.67,2596916
2016-01-22,742.00,748.56,740.50,745.46,2357315
2016-01-25,743.84,752.46,732.50,733.62,2267031
2016-01-26,735.21,739.46,726.97,733.79,1547049
2016-01-27,735.89,735.89,713.45,717.58,2121434
2016-01-28,738.19,751.16,730.60,748.30,3105222
2016-01-29,748.96,765.11,744.20,761.35,3790395
2016-02-01,771.26,777.59,761.38,770.77,5576089
2016-02-02,800.50,810.35,780.60,780.91,6686828
2016-02-03,786.28,791.43,736.26,749.38,6555731
2016-02-04,744.59,745.24,722.60,730.03,5246123
2016-02-05,725.50,726.72,700.14,703.76,5477821
2016-02-08,687.68,704.52,682.01,704.16,4470514
2016-02-09,692.95,720.96,688.50,701.02,4214950
2016-02-10,711.79,723.22,705.39,706.85,3015733
2016-02-11,696.34,712.32,691.19,706.36,3246306
2016-02-12,712.21,716.00,701.58,706.89,2326889
2016-02-16,718.65,722.88,710.18,717.64,2172213
2016-02-17,727.00,733.76,716.61,731.97,2457715
2016-02-18,733.96,736.00,715.55,717.51,2363846
2016-02-19,715.90,724.03,713.12,722.11,1745940
2016-02-22,729.51,734.85,723.45,729.05,1875824
2016-02-23,726.10,730.90,715.67,717.29,2066566
2016-02-24,710.61,721.22,702.02,720.90,1854612
2016-02-25,722.93,729.51,713.23,729.12,1807258
2016-02-26,733.60,736.16,721.94,724.86,2123690
2016-02-29,721.00,730.60,716.84,717.22,2253391
2016-03-01,721.30,742.33,718.64,742.17,3005553
2016-03-02,742.87,743.12,733.25,739.48,1814643
2016-03-03,739.48,741.00,729.63,731.59,2026700
2016-03-04,734.80,735.00,725.62,730.22,2425750
2016-03-07,725.15,727.21,705.14,712.80,3088278
2016-03-08,708.39,722.25,704.00,713.53,2623345
2016-03-09,715.16,726.24,712.66,725.41,1977169
2016-03-10,727.79,736.54,723.29,732.17,2230811
2016-03-11,739.99,744.90,736.70,744.87,1768995
2016-03-14,744.97,754.26,743.66,750.24,1641189
2016-03-15,746.02,753.01,742.84,750.57,1491578
2016-03-16,749.05,759.00,746.50,757.36,1465285
2016-03-17,757.65,765.34,757.36,758.48,2228244
2016-03-18,761.63,762.14,751.82,755.41,2811518
2016-03-21,753.91,763.34,751.27,762.16,1438658
2016-03-22,758.44,765.00,757.88,760.05,1104784
2016-03-23,763.35,765.39,756.03,757.56,1233854
2016-03-24,751.20,757.55,750.50,754.84,1555844
2016-03-28,756.17,758.30,752.04,753.28,1083823
2016-03-29,753.68,767.18,748.29,765.89,2002870
2016-03-30,768.21,777.31,767.58,768.34,2019755
2016-03-31,768.34,769.08,758.25,762.90,1627669
2016-04-01,757.16,770.04,755.20,769.67,1574318
2016-04-04,769.51,772.44,761.78,765.12,1346419
2016-04-05,758.13,762.87,755.60,758.57,1223905
2016-04-06,757.84,768.42,756.30,768.07,1265577
2016-04-07,765.32,769.36,757.50,760.12,1274852
2016-04-08,765.87,767.13,755.77,759.47,1171867
2016-04-11,765.45,767.22,757.34,757.54,1588692
2016-04-12,758.43,764.92,751.57,764.32,1369358
2016-04-13,770.31,775.75,764.59,771.91,1771308
2016-04-14,775.36,779.61,773.22,775.39,1349610
2016-04-15,775.50,780.93,774.93,780.00,1585584
2016-04-18,780.62,788.55,777.61,787.68,1677015
2016-04-19,790.50,790.95,770.27,776.25,2197615
2016-04-20,779.16,779.66,771.27,774.92,1713088
2016-04-21,777.31,781.68,771.55,780.00,3881420
2016-04-22,743.91,753.92,730.37,737.77,7039948
2016-04-25,735.35,744.88,735.10,742.21,2470261
2016-04-26,744.42,745.59,720.32,725.37,2793210
2016-04-27,725.32,727.15,709.08,721.46,3313137
2016-04-28,723.29,729.26,703.20,705.06,3129502
2016-04-29,704.12,712.11,703.78,707.88,2913898
2016-05-02,711.92,715.41,706.36,714.41,1673820
2016-05-03,712.50,713.37,707.33,708.44,1931036
2016-05-04,706.77,715.05,704.05,711.37,1708609
2016-05-05,715.00,717.55,709.45,714.71,1483357
2016-05-06,712.20,725.99,711.95,725.18,1997628
2016-05-09,726.70,734.29,723.50,729.13,1903689
2016-05-10,734.96,740.00,731.61,739.38,1631714
2016-05-11,740.52,740.80,727.90,730.55,1491746
2016-05-12,732.00,735.37,724.27,728.07,1354717
2016-05-13,726.62,731.29,723.51,724.83,1262161
2016-05-16,724.32,732.68,720.00,730.30,1126862
2016-05-17,731.06,735.85,718.00,720.19,1670176
2016-05-18,718.50,725.57,715.02,721.78,1626800
2016-05-19,718.30,720.50,710.30,715.31,1529910
2016-05-20,716.46,727.70,715.01,721.71,1739895
2016-05-23,719.98,723.50,716.94,717.25,1240826
2016-05-24,719.85,734.20,719.64,733.03,1894161
2016-05-25,735.00,739.89,732.60,738.10,1616624
2016-05-26,736.00,741.10,733.00,736.93,1360119
2016-05-27,737.51,747.91,737.01,747.60,1740130
2016-05-31,748.76,753.48,745.57,748.85,2124248
2016-06-01,748.47,751.37,744.34,748.46,1039847
2016-06-02,746.10,747.30,737.00,744.27,1695824
2016-06-03,741.49,741.49,733.91,735.86,1230376
2016-06-06,738.50,738.50,728.29,730.06,1499648
2016-06-07,733.27,736.71,730.80,731.09,1215741
2016-06-08,739.50,743.81,735.76,742.93,1615727
2016-06-09,737.07,743.93,736.50,742.52,958963
2016-06-10,735.95,739.64,730.51,733.19,1452423
2016-06-13,729.82,739.00,729.82,731.88,1167736
2016-06-14,729.31,736.00,726.50,733.25,1329176
2016-06-15,734.92,737.15,731.31,732.19,1161701
2016-06-16,727.96,730.39,715.54,724.25,2250083
2016-06-17,721.39,721.39,701.12,704.25,4113085
2016-06-20,710.31,715.87,705.41,706.13,2282725
2016-06-21,710.05,715.38,704.66,708.88,1515918
2016-06-22,714.05,714.21,705.88,710.47,1452884
2016-06-23,710.55,714.88,700.25,714.87,2125028
2016-06-24,690.17,705.00,684.91,685.20,4771780
2016-06-27,682.49,683.33,672.66,681.14,2919486
2016-06-28,691.37,692.74,684.85,691.26,1912280
2016-06-29,694.26,699.50,692.68,695.19,2156218
2016-06-30,697.65,703.77,694.90,703.53,2112513
2016-07-01,705.10,712.53,703.73,710.25,1549160
2016-07-05,705.01,708.12,699.13,704.89,1422028
2016-07-06,699.84,713.00,699.00,708.97,1445126
2016-07-07,710.11,710.17,700.67,707.26,1058698
2016-07-08,710.56,717.90,708.11,717.78,1497323
2016-07-11,719.42,728.93,718.87,727.20,1441113
2016-07-12,731.92,735.60,727.50,732.51,1328680
2016-07-13,735.52,735.52,729.02,729.48,1021827
2016-07-14,733.94,736.14,730.59,735.80,1070351
2016-07-15,741.00,741.00,734.64,735.63,1617087
2016-07-18,737.91,755.14,736.51,753.20,1934900
2016-07-19,749.87,756.59,748.49,753.41,1521795
2016-07-20,754.05,760.64,754.05,757.08,1125117
2016-07-21,757.00,758.15,751.52,754.41,953053
2016-07-22,757.32,759.45,752.65,759.28,1046024
2016-07-25,757.68,759.82,754.07,757.52,1073310
2016-07-26,757.52,759.26,752.75,757.65,1189573
2016-07-27,758.97,764.45,755.93,761.97,1608589
2016-07-28,768.84,768.97,759.09,765.84,3673221
2016-07-29,797.71,803.94,790.00,791.34,5090273
2016-08-01,785.76,807.49,785.04,800.94,3029658
2016-08-02,797.33,802.32,794.53,800.12,1996354
2016-08-03,796.47,799.54,793.02,798.92,1461025
2016-08-04,798.24,800.20,793.92,797.25,1076031
2016-08-05,800.11,807.22,797.81,806.93,1807271
2016-08-08,806.00,807.60,801.69,805.23,1221609
2016-08-09,804.49,813.33,804.06,807.48,1607685
2016-08-10,807.05,810.88,806.49,808.49,918514
2016-08-11,809.43,813.88,806.00,808.20,1282274
2016-08-12,805.09,807.19,803.64,807.05,897103
2016-08-15,807.21,811.36,804.03,805.96,930074
2016-08-16,803.50,804.26,797.00,801.19,1057897
2016-08-17,800.00,805.63,796.30,805.42,1066070
2016-08-18,805.36,808.00,801.63,802.75,865160
2016-08-19,799.79,801.23,796.88,799.65,1120763
