date,open,high,low,close,volume
2016-09-21,28.75,30.40,27.80,30.10,6343768
2016-09-22,31.00,31.70,28.41,28.90,2272804
2016-09-23,28.85,28.90,26.84,27.66,1058708
2016-09-26,27.10,28.42,27.00,27.77,306080
2016-09-27,28.33,30.85,27.34,29.98,1015766
2016-09-28,30.73,33.40,30.02,33.39,2056476
2016-09-29,32.60,33.20,28.80,28.99,1703342
2016-09-30,29.35,30.95,29.19,29.21,949302
2016-10-03,29.12,29.32,26.19,26.38,1080413
2016-10-04,26.39,27.25,23.63,23.83,1338126
2016-10-05,24.42,25.20,23.50,24.78,963448
2016-10-06,25.12,26.94,24.61,26.08,855796
2016-10-07,25.28,26.49,25.02,26.26,448552
2016-10-10,25.77,26.37,25.10,25.28,364534
2016-10-11,25.06,25.93,23.50,25.52,539425
2016-10-12,25.32,26.96,25.32,26.90,332247
2016-10-13,26.40,26.73,25.50,25.97,245656
2016-10-14,26.11,27.24,26.05,26.36,222913
2016-10-17,27.02,27.25,26.14,26.27,337580
2016-10-18,26.27,26.51,25.81,25.88,171606
2016-10-19,25.75,26.22,25.25,25.46,111748
2016-10-20,25.10,26.66,25.05,26.49,104106
2016-10-21,26.51,27.50,26.24,27.48,235937
2016-10-24,27.38,28.70,27.05,28.52,273145
2016-10-25,28.61,29.47,28.57,28.80,280540
2016-10-26,28.95,29.09,27.89,28.18,182483
2016-10-27,28.16,28.60,25.44,25.52,367647
2016-10-28,25.75,26.75,25.50,25.61,168531
2016-10-31,26.01,26.01,24.17,25.18,176465
2016-11-01,25.44,25.70,25.00,25.24,88910
2016-11-02,25.02,26.00,24.20,24.43,182532
2016-11-03,24.26,24.51,22.01,22.90,426543
2016-11-04,22.93,24.19,22.79,23.87,153741
2016-11-07,24.16,24.34,22.27,22.90,206824
2016-11-08,24.26,24.30,22.55,22.80,577393
2016-11-09,22.00,23.50,22.00,22.95,557268
2016-11-10,23.90,24.34,23.18,23.43,562211
2016-11-11,25.01,26.49,24.02,25.45,1126418
2016-11-14,25.57,27.35,25.50,25.77,695161
2016-11-15,25.84,26.12,25.03,25.25,544098
2016-11-16,25.00,25.97,24.80,25.36,468557
2016-11-17,25.57,26.46,25.41,25.93,608123
2016-11-18,25.97,29.25,25.97,29.10,825895
2016-11-21,28.86,30.48,28.00,29.33,748259
2016-11-22,29.40,29.60,28.32,28.73,383255
