date,open,high,low,close,volume
2015-12-01,67.35,67.83,66.99,67.61,12708809
2015-12-02,67.83,67.88,66.48,66.66,13440883
2015-12-03,66.81,67.03,65.58,65.80,14626881
2015-12-04,66.09,68.00,66.03,67.89,17786143
2015-12-07,67.66,67.75,66.40,67.00,11701751
2015-12-08,66.25,66.96,65.70,65.96,13086984
2015-12-09,65.61,66.58,65.04,65.46,16928973
2015-12-10,65.54,66.50,65.08,65.61,12838986
2015-12-11,64.80,65.16,63.51,64.07,17889293
2015-12-14,64.23,64.75,63.60,64.27,17638159
2015-12-15,65.15,66.65,65.07,66.10,18128916
2015-12-16,66.91,67.74,65.91,67.53,21720024
2015-12-17,67.90,68.00,66.08,66.28,18122128
2015-12-18,65.97,65.97,64.40,64.40,23820043
2015-12-21,65.02,65.56,64.83,65.54,18869342
2015-12-22,65.92,66.00,64.98,65.68,12149894
2015-12-23,66.12,66.85,66.05,66.73,12524495
2015-12-24,66.62,66.89,66.32,66.60,4468371
2015-12-28,66.29,66.45,65.71,66.38,6610609
2015-12-29,66.84,67.30,66.74,67.07,9820830
2015-12-30,67.04,67.05,66.45,66.59,7190650
2015-12-31,66.19,66.78,66.00,66.03,14654329
2016-01-04,63.95,64.06,63.01,63.62,25393155
2016-01-05,63.69,64.13,63.04,63.73,16567100
2016-01-06,62.72,63.12,62.34,62.81,22961532
2016-01-07,61.46,62.00,60.08,60.27,27630867
2016-01-08,61.13,61.27,58.85,58.92,22376619
2016-01-11,58.83,59.22,58.04,58.83,20925529
2016-01-12,59.45,59.56,58.10,58.96,22971676
2016-01-13,59.46,59.67,56.91,57.34,28808129
2016-01-14,58.16,59.38,57.29,58.20,31296332
2016-01-15,56.45,57.57,56.22,57.04,38131798
2016-01-19,57.73,57.97,56.51,57.01,22819059
2016-01-20,55.63,56.18,54.66,55.51,34649583
2016-01-21,55.74,56.52,55.06,55.25,31301088
2016-01-22,56.44,57.16,56.30,56.95,22742937
2016-01-25,56.48,56.85,55.60,55.66,21124409
2016-01-26,55.85,57.15,55.81,57.08,17535907
2016-01-27,57.08,58.27,56.56,57.04,20560064
2016-01-28,57.52,57.97,56.63,57.28,15498116
2016-01-29,57.83,59.54,57.51,59.50,26992199
2016-02-01,59.16,59.65,58.44,58.86,16817436
2016-02-02,57.88,57.98,56.75,57.03,22008880
2016-02-03,57.37,57.80,55.02,57.41,31594120
2016-02-04,57.06,58.52,57.06,58.40,21651256
2016-02-05,58.58,59.14,57.42,57.75,22001260
2016-02-08,56.69,56.92,55.53,56.54,28267901
2016-02-09,55.29,56.69,55.13,56.20,26300549
2016-02-10,56.57,57.41,55.47,55.52,22407888
2016-02-11,53.91,53.91,52.50,53.07,44334661
2016-02-12,55.65,57.57,55.17,57.49,37011352
2016-02-16,58.23,58.60,57.64,58.35,23742687
2016-02-17,58.85,59.25,58.39,58.77,21698906
2016-02-18,58.86,58.86,57.25,57.81,17037776
2016-02-19,57.50,58.17,57.08,57.82,16454630
2016-02-22,58.51,58.88,58.42,58.57,14976292
2016-02-23,57.90,58.09,55.96,56.12,31772640
2016-02-24,55.20,56.21,54.33,56.14,25560096
2016-02-25,56.13,57.03,56.04,57.01,14473275
2016-02-26,57.64,58.11,57.14,57.54,20957787
2016-02-29,57.41,57.60,56.29,56.30,19554051
2016-03-01,56.76,59.20,56.67,59.20,23958179
2016-03-02,59.20,59.90,58.96,59.76,20943172
2016-03-03,59.58,59.96,59.10,59.96,15840644
2016-03-04,60.10,60.55,59.53,60.05,18459014
2016-03-07,59.54,60.05,59.32,59.94,12846003
2016-03-08,59.21,59.50,58.68,58.78,14132879
2016-03-09,59.15,59.54,58.68,59.12,13238828
2016-03-10,59.59,59.67,57.81,58.61,21139313
2016-03-11,59.39,59.51,58.65,59.34,21054993
2016-03-14,59.15,59.31,58.60,59.12,13436139
2016-03-15,58.54,59.21,58.43,59.20,10910468
2016-03-16,58.98,59.75,58.47,58.92,17423949
2016-03-17,58.77,59.13,57.99,58.75,19444136
2016-03-18,60.05,60.97,59.66,60.48,29570210
2016-03-21,60.22,60.82,59.96,60.46,12684513
2016-03-22,59.99,60.58,59.62,60.24,12042764
2016-03-23,60.34,60.51,59.86,59.94,11658691
2016-03-24,59.30,59.51,58.87,59.48,12921194
2016-03-28,59.53,59.75,59.18,59.40,11159717
2016-03-29,59.33,59.33,58.53,59.03,15934628
2016-03-30,59.46,60.23,59.38,59.71,13307142
2016-03-31,59.45,59.93,59.11,59.22,14905295
2016-04-01,59.02,60.06,58.56,59.87,15422028
2016-04-04,59.44,59.56,58.96,59.20,12305028
2016-04-05,58.59,58.83,58.21,58.36,12886615
2016-04-06,58.18,58.88,57.95,58.81,12167929
2016-04-07,58.26,58.43,57.06,57.32,19226797
2016-04-08,57.71,58.58,57.69,57.74,13553667
2016-04-11,57.91,58.88,57.91,58.20,17627802
2016-04-12,58.34,59.39,58.20,59.28,17779234
2016-04-13,60.42,62.16,60.38,61.79,37516774
2016-04-14,61.69,62.91,61.60,62.59,24250270
2016-04-15,62.88,62.90,61.45,61.87,19290707
2016-04-18,61.64,62.58,61.53,62.27,13813321
2016-04-19,62.55,63.48,62.55,63.32,19287617
2016-04-20,63.48,64.31,63.15,64.24,14594754
2016-04-21,64.26,64.66,63.34,63.60,15396458
2016-04-22,63.64,64.38,63.64,63.97,12445165
2016-04-25,63.60,63.95,63.15,63.60,10687190
2016-04-26,63.82,64.07,63.33,63.93,12048042
2016-04-27,63.84,64.64,63.60,64.11,15284240
2016-04-28,63.64,64.42,63.35,63.60,12912247
2016-04-29,63.09,63.61,62.70,63.20,16376353
2016-05-02,63.69,64.00,63.14,63.79,10247330
2016-05-03,62.90,62.91,61.80,62.56,19119659
2016-05-04,61.75,62.26,61.27,61.57,17033537
2016-05-05,61.60,61.99,61.06,61.24,14034562
2016-05-06,60.70,61.68,60.59,61.60,11057877
2016-05-09,61.37,61.89,61.05,61.21,11198141
2016-05-10,61.55,62.26,61.35,62.04,11897151
2016-05-11,61.97,62.60,61.81,61.81,11262830
2016-05-12,62.27,62.56,61.37,61.77,11071679
2016-05-13,61.77,62.40,61.02,61.20,15122898
2016-05-16,61.21,61.98,61.00,61.66,10977578
2016-05-17,61.43,62.16,61.15,61.66,12181030
2016-05-18,61.70,64.17,61.69,64.04,24053381
2016-05-19,63.53,64.22,62.90,63.39,16076659
2016-05-20,63.86,64.19,63.37,63.51,11875130
2016-05-23,63.45,63.87,63.16,63.46,9347710
2016-05-24,63.94,64.77,63.81,64.54,13839390
2016-05-25,64.94,66.20,64.92,65.52,18939214
2016-05-26,65.57,65.58,64.91,65.03,9429253
2016-05-27,65.21,65.46,65.05,65.43,10134215
2016-05-31,65.73,65.82,64.96,65.27,15139407
2016-06-01,64.76,65.92,64.26,65.69,14032018
2016-06-02,65.52,65.81,65.16,65.81,10637550
2016-06-03,64.25,64.86,63.55,64.64,20272631
2016-06-06,64.64,65.76,64.60,65.28,13193559
2016-06-07,65.45,65.74,65.04,65.06,9924207
2016-06-08,64.93,65.48,64.92,65.25,9428013
2016-06-09,64.79,64.90,64.27,64.75,10817761
2016-06-10,63.93,64.07,63.58,63.84,16678358
2016-06-13,63.48,64.34,63.26,63.27,14392665
2016-06-14,62.68,63.47,61.68,62.08,19527822
2016-06-15,62.41,62.98,61.91,61.97,16982140
2016-06-16,61.45,62.30,60.90,62.22,16791228
2016-06-17,62.30,62.71,61.93,62.28,15753367
2016-06-20,63.45,63.85,62.34,62.37,12213239
2016-06-21,62.73,63.00,62.14,62.95,11611632
2016-06-22,63.02,63.71,62.68,62.71,12666242
2016-06-23,63.70,64.15,63.53,64.05,16583609
2016-06-24,60.48,61.70,59.34,59.60,44116078
2016-06-27,58.71,58.75,57.05,57.61,37925541
2016-06-28,59.19,59.55,58.26,59.52,29104241
2016-06-29,60.36,61.21,60.00,61.20,21482612
2016-06-30,61.63,62.19,61.02,62.14,21357163
2016-07-01,61.52,62.01,61.16,61.26,14218044
2016-07-05,60.45,60.60,59.10,59.55,23357694
2016-07-06,59.01,60.29,58.76,60.19,20433336
2016-07-07,60.52,61.14,60.16,60.58,13771417
2016-07-08,61.33,62.17,61.33,61.83,17017626
2016-07-11,62.42,62.95,62.14,62.27,13151474
2016-07-12,63.01,63.56,62.89,63.20,16588424
2016-07-13,63.08,63.43,62.64,63.16,18526932
2016-07-14,64.74,64.98,64.05,64.12,28985935
2016-07-15,64.75,64.80,63.61,64.18,17607097
2016-07-18,64.13,64.40,63.90,63.96,10824364
2016-07-19,63.61,64.10,63.46,63.86,9737390
2016-07-20,64.11,64.23,63.71,63.93,10411068
2016-07-21,64.00,64.18,63.63,63.69,9952750
2016-07-22,63.90,64.09,63.60,64.04,8196188
2016-07-25,63.98,64.17,63.67,63.87,8168252
2016-07-26,64.00,64.26,63.71,64.13,8067886
2016-07-27,64.08,64.69,64.06,64.33,11807081
2016-07-28,64.00,64.19,63.72,64.10,10013463
2016-07-29,63.80,64.29,63.75,63.97,13261814
2016-08-01,64.15,64.31,63.61,63.80,11423901
2016-08-02,63.59,64.01,63.38,63.65,13553302
2016-08-03,63.69,64.67,63.65,64.66,13142803
2016-08-04,64.49,64.81,64.27,64.56,9873007
2016-08-05,65.07,66.37,65.07,66.30,20753530
2016-08-08,66.07,66.48,65.84,66.10,11359197
2016-08-09,66.16,66.28,65.69,65.87,10097474
2016-08-10,65.95,66.07,65.16,65.28,11556086
2016-08-11,65.27,65.69,65.02,65.46,9604549
2016-08-12,64.97,65.35,64.86,65.32,7685383
2016-08-15,65.56,65.83,65.46,65.72,8371557
2016-08-16,65.36,65.96,65.24,65.71,10129036
2016-08-17,65.80,65.98,65.54,65.89,11868065
2016-08-18,65.62,65.99,65.53,65.95,9313641
2016-08-19,65.72,65.91,65.22,65.86,9084877
2016-08-22,65.75,65.88,65.41,65.80,9055631
2016-08-23,66.07,66.34,65.76,65.77,8949607
2016-08-24,65.99,66.23,65.77,65.95,10167286
2016-08-25,65.91,66.14,65.79,66.07,9978651
2016-08-26,66.33,66.88,65.84,66.22,14038597
2016-08-29,66.49,67.10,66.46,66.95,14583145
2016-08-30,66.96,67.59,66.95,67.50,13791901
2016-08-31,67.46,67.77,66.86,67.50,14956523
2016-09-01,67.64,67.72,66.65,67.21,12230539
2016-09-02,67.40,67.58,66.98,67.49,13720662
2016-09-06,67.50,67.55,66.71,67.44,16649371
2016-09-07,67.16,67.59,66.96,67.16,10070907
2016-09-08,67.22,67.68,67.00,67.25,12252962
2016-09-09,67.03,67.43,66.64,66.65,19687255
